condition_IW,counts_PSMs,N
1.4,≥7,646
1.4,6,1469
1.4,5,3489
1.4,4,7226
1.4,3,12722
1.4,2,19194
1.4,1,22994
3.4,≥7,4605
3.4,6,5015
3.4,5,8386
3.4,4,11899
3.4,3,14675
3.4,2,15606
3.4,1,13213
6.4,≥7,9004
6.4,6,7718
6.4,5,10707
6.4,4,12764
6.4,3,13856
6.4,2,12536
6.4,1,9310
8.4,≥7,10001
8.4,6,8071
8.4,5,11261
8.4,4,13414
8.4,3,13780
8.4,2,11999
8.4,1,8158
10.4,≥7,10793
10.4,6,8660
10.4,5,11666
10.4,4,13586
10.4,3,13356
10.4,2,11302
10.4,1,7548
12.4,≥7,10754
12.4,6,8862
12.4,5,12073
12.4,4,13870
12.4,3,13397
12.4,2,10932
12.4,1,7290
15.4,≥7,11051
15.4,6,9147
15.4,5,12493
15.4,4,14230
15.4,3,13298
15.4,2,10524
15.4,1,6768
20.4,≥7,9885
20.4,6,8997
20.4,5,12736
20.4,4,14733
20.4,3,13820
20.4,2,10732
20.4,1,6859
